user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained,DOW_subscribe,DOW_cancel,is_correct_lang
a100000029,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,,House Ads,True,0.0,,True
a100000030,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,,House Ads,True,0.0,,True
a100000031,2018-01-01,House Ads,personalization,True,English,English,24-30 years,2018-01-01,,House Ads,True,0.0,,True
a100000032,2018-01-01,House Ads,personalization,True,English,English,30-36 years,2018-01-01,,House Ads,True,0.0,,True
a100000033,2018-01-01,House Ads,personalization,True,English,English,36-45 years,2018-01-01,,House Ads,True,0.0,,True
a100000034,2018-01-01,House Ads,personalization,True,German,German,45-55 years,2018-01-01,,House Ads,True,0.0,,True
a100000035,2018-01-01,House Ads,personalization,True,English,English,55+ years,2018-01-01,,House Ads,True,0.0,,True
a100000036,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,,House Ads,True,0.0,,True
a100000037,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,,House Ads,True,0.0,,True
a100000038,2018-01-01,House Ads,personalization,True,English,English,24-30 years,2018-01-01,,House Ads,True,0.0,,True
a100000039,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,,House Ads,True,0.0,,True
a100000040,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,2018-01-18,House Ads,False,0.0,3.0,True
a100000041,2018-01-01,House Ads,personalization,True,Arabic,Arabic,24-30 years,2018-01-01,2018-02-22,House Ads,False,0.0,3.0,True
a100000042,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,2018-03-09,House Ads,False,0.0,4.0,True
a100000043,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,2018-02-18,House Ads,False,0.0,6.0,True
a100000044,2018-01-01,House Ads,personalization,True,Arabic,Arabic,24-30 years,2018-01-01,2018-03-03,House Ads,False,0.0,5.0,True
a100000045,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,2018-02-04,House Ads,False,1.0,6.0,True
a100000046,2018-01-02,House Ads,personalization,True,English,English,19-24 years,2018-01-02,2018-01-09,House Ads,False,1.0,1.0,True
a100000047,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,2018-02-04,House Ads,False,1.0,6.0,True
a100000048,2018-01-02,House Ads,personalization,True,German,German,0-18 years,2018-01-02,2018-01-21,House Ads,False,1.0,6.0,True
a100000049,2018-01-02,House Ads,personalization,True,German,German,19-24 years,2018-01-02,,House Ads,True,1.0,,True
a100000050,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,,House Ads,True,1.0,,True
a100000050,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-02,,House Ads,True,1.0,,True
a100000051,2018-01-02,House Ads,personalization,True,English,English,30-36 years,2018-01-02,,House Ads,True,1.0,,True
